Time (s),ADC (t),,,,,,,ADC (Blank):,2879,,,
75960.0000000001,124.248,,,,,,,,,,,
76320.0000000001,124.211,,,,,,,,,,,
76680.0000000001,124.174,,,,,,,,,,,
77040.0000000001,124.137,,,,,,,,,,,
77400.0000000001,124.100,,,,,,,,,,,
77760.0000000001,124.063,,,,,,,,,,,
78120.0000000001,124.026,,,,,,,,,,,
78480.0000000001,123.989,,,,,,,,,,,
78840.0000000001,123.952,,,,,,,,,,,
79200.0000000002,123.916,,,,,,,,,,,
79560.0000000002,123.879,,,,,,,,,,,
79920.0000000002,123.842,,,,,,,,,,,
80280.0000000002,123.805,,,,,,,,,,,
80640.0000000002,123.768,,,,,,,,,,,
81000.0000000002,123.731,,,,,,,,,,,
81360.0000000002,123.694,,,,,,,,,,,
81720.0000000002,123.657,,,,,,,,,,,
82080.0000000002,123.620,,,,,,,,,,,
82440.0000000002,123.583,,,,,,,,,,,
82800.0000000002,123.546,,,,,,,,,,,
83160.0000000002,123.510,,,,,,,,,,,
83520.0000000002,123.473,,,,,,,,,,,
83880.0000000002,123.436,,,,,,,,,,,
84240.0000000002,123.399,,,,,,,,,,,
84600.0000000002,123.362,,,,,,,,,,,
84960.0000000002,123.325,,,,,,,,,,,
85320.0000000002,123.288,,,,,,,,,,,
85680.0000000002,123.252,,,,,,,,,,,
86040.0000000002,123.215,,,,,,,,,,,
86400.0000000003,123.178,,,,,,,,,,,
